"filename", "language", "XML", "JSON with Comments", "Java", "HTML", "Markdown", "JSON", "YAML", "comment", "blank", "total"
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\AdminService\Impl\AdminDataServiceImpl.java", "Java", 0, 0, 66, 0, 0, 0, 0, 1, 10, 77
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\AdminService\Impl\AdminLoginServiceImpl.java", "Java", 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\AdminService\Impl\AdminServiceImpl.java", "Java", 0, 0, 46, 0, 0, 0, 0, 9, 8, 63
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\AdminService\LoginService.java", "Java", 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\LoginService.java", "Java", 0, 0, 7, 0, 0, 0, 0, 0, 6, 13
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\UserNewsRecommendService.java", "Java", 0, 0, 10, 0, 0, 0, 0, 2, 10, 22
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\UserNewsSummarizeService.java", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 9, 24
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\impl\LoginServiceImpl.java", "Java", 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\impl\UserNewsRecommendServiceImpl.java", "Java", 0, 0, 95, 0, 0, 0, 0, 72, 27, 194
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\service\UserService\impl\UserNewsSummarizeServiceImpl.java", "Java", 0, 0, 72, 0, 0, 0, 0, 6, 10, 88
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\ChatClient.java", "Java", 0, 0, 95, 0, 0, 0, 0, 22, 28, 145
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\CmdExecutor.java", "Java", 0, 0, 41, 0, 0, 0, 0, 6, 13, 60
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\JwtUtils.java", "Java", 0, 0, 23, 0, 0, 0, 0, 22, 11, 56
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\Model_eval.java", "Java", 0, 0, 6, 0, 0, 0, 0, 30, 4, 40
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\MySystem.java", "Java", 0, 0, 53, 0, 0, 0, 0, 9, 13, 75
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\SHA256Hashing.java", "Java", 0, 0, 29, 0, 0, 0, 0, 5, 6, 40
"e:\codes\idea_workspace\demo\src\main\java\cn\edu\seu\demo\utils\SmsSend.java", "Java", 0, 0, 24, 0, 0, 0, 0, 13, 8, 45
"e:\codes\idea_workspace\demo\src\main\resources\application.yml", "YAML", 0, 0, 0, 0, 0, 0, 16, 19, 4, 39
"e:\codes\idea_workspace\demo\src\main\resources\cn\edu\seu\demo\mapper\MySystemMapper.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 7, 0, 13
"e:\codes\idea_workspace\demo\src\main\resources\cn\edu\seu\demo\mapper\adminmapper\AdminDataMapper.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 9, 1, 16
"e:\codes\idea_workspace\demo\src\main\resources\cn\edu\seu\demo\mapper\adminmapper\AdminMapper.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"e:\codes\idea_workspace\demo\src\main\resources\cn\edu\seu\demo\mapper\usermapper\UserNewsRecommendMapper.xml", "XML", 35, 0, 0, 0, 0, 0, 0, 16, 1, 52
"e:\codes\idea_workspace\demo\src\main\resources\config\config.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14
"e:\codes\idea_workspace\demo\src\main\resources\static\index.html", "HTML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"e:\codes\idea_workspace\demo\src\test\java\cn\edu\seu\demo\DemoApplicationTests.java", "Java", 0, 0, 66, 0, 0, 0, 0, 24, 12, 102
"Total", "-", 228, 14, 1446, 6, 121, 1, 16, 489, 442, 2763
